"12, thg 9 2010","2010-09-12"
"THÁNG 12 14 1992","1992-12-14"
"8 THG 6 1999","1999-06-08"
"11.03.00","2000-03-11"
"16/06/1979","1979-06-16"
"1 THÁNG 2, 1988","1988-02-01"
"19 thg 6 1991","1991-06-19"
"12 tháng 1, 1981","1981-01-12"
"30 thg 9 2015","2015-09-30"
"8 thg 7, 1996","1996-07-08"
"27 thg 6 2017","2017-06-27"
"THÁNG 3 2, 1998","1998-03-02"
"Thứ Tư, ngày 21 tháng 3 năm 1973","1973-03-21"
"13 01 07","2007-01-13"
"19 tháng 7 1989","1989-07-19"
"18 thg 5, 1971","1971-05-18"
"Ngày 12 tháng 06 năm 2005","2005-06-12"
"31 thg 7, 1988","1988-07-31"
"30 tháng 3, 2017","2017-03-30"
"tháng 3 3 1985","1985-03-03"
"05.09.87","1987-09-05"
"17 thg 7 2005","2005-07-17"
"THỨ HAI, NGÀY 04 THÁNG 1 NĂM 2010","2010-01-04"
"THÁNG 10 27 1972","1972-10-27"
"THỨ BA, NGÀY 02 THÁNG 1 NĂM 1990","1990-01-02"
"9 tháng 8, 2006","2006-08-09"
"22, THG 3 1976","1976-03-22"
"16 tháng 6 1990","1990-06-16"
"THÁNG 5 24, 1988","1988-05-24"
"18 tháng 11, 2005","2005-11-18"
"Thứ Ba, ngày 25 tháng 11 năm 1975","1975-11-25"
"21/05/1999","1999-05-21"
"6 tháng 8 2000","2000-08-06"
"11 thg 10 2000","2000-10-11"
"12/07/2006","2006-07-12"
"thứ ba, ngày 28 tháng 7 năm 1970","1970-07-28"
"NGÀY 09 THÁNG 02 NĂM 1987","1987-02-09"
"26 tháng 9 1996","1996-09-26"
"28.06.02","2002-06-28"
"Thứ Bảy, ngày 28 tháng 12 năm 2013","2013-12-28"
"15/04/2010","2010-04-15"
"Ngày 14 tháng 02 năm 1983","1983-02-14"
"10 THÁNG 4 1980","1980-04-10"
"9 THÁNG 5 1986","1986-05-09"
"tháng 6 6, 2011","2011-06-06"
"10 THÁNG 3 1997","1997-03-10"
"13 tháng 7 1974","1974-07-13"
"29.05.13","2013-05-29"
"12 tháng 7 1988","1988-07-12"
"tháng 10 10 1990","1990-10-10"
"tháng 4 30 1994","1994-04-30"
"7 thg 4, 1982","1982-04-07"
